,239844,311421,386061,399046,417934,433719,478780,522267,565948,623120,652183,669950,769890,808743,822092,888997,954688,1054736,1091758,1104782
run,1.0,16.0,29.0,26.0,16.0,8.0,24.0,26.0,29.0,4.0,26.0,6.0,6.0,26.0,27.0,29.0,21.0,23.0,26.0,23.0
variable,generation_72,generation_93,generation_115,generation_119,generation_125,generation_130,generation_143,generation_156,generation_169,generation_187,generation_195,generation_201,generation_231,generation_242,generation_246,generation_266,generation_286,generation_316,generation_327,generation_331
follow_line,2.0989920173704544,7.976406070711471,5.276690190779237,4.300006313783889,8.202084552682702,1.588734596101823,0.6463413007236742,1.3785198348234626,2.0996060076301064,0.4169534285293014,3.0115692295927445,2.33847951438339,3.7036997851343365,4.795018981363842,1.7307184914819547,2.0478917110949912,8.772517859006479,1.9190261855347306,1.092211500721606,1.8424910145254694
run,1.0,16.0,29.0,26.0,16.0,8.0,24.0,26.0,29.0,4.0,26.0,6.0,6.0,26.0,27.0,29.0,21.0,23.0,26.0,23.0
variable,generation_72,generation_93,generation_115,generation_119,generation_125,generation_130,generation_143,generation_156,generation_169,generation_187,generation_195,generation_201,generation_231,generation_242,generation_246,generation_266,generation_286,generation_316,generation_327,generation_331
rotation,114.40457086427054,19.87545672088471,21.018095588966922,42.4113919771813,4.210084787733884,227.46344975597805,260.33828055720284,250.0126735939344,63.29182415896519,324.0682893566898,44.55495392601843,60.831212528663436,44.508748358243096,38.04035846234971,217.41552071067537,153.20430363292482,0.19802435664720958,185.97700226827342,254.86552785411925,186.44512045240037
